STRATUM,STATION_TYPE,STATIONID,LONGITUDE,LATITUDE,VESSEL
623,prescribed,256-31,-170.8229,52.30156,176
623,prescribed,241-29,-171.9598,52.21361,176
623,new_stn,NA,,,176
623,bonus_stn,NA,,,
624,prescribed,244-28,-171.7315,52.17835,148
624,prescribed,215-20,-173.9118,51.8339,148
624,prescribed,243-25,-171.8076,52.03894,176
711,prescribed,293-60,-168.0483,53.58023,148
711,prescribed,287-55,-168.4981,53.37094,176
712,prescribed,272-49,-169.6251,53.08771,148
712,prescribed,279-48,-169.0849,53.04953,176
712,prescribed,287-57,-168.4964,53.45683,176
721,prescribed,322-75,-165.8664,54.28187,148
721,prescribed,301-61,-167.4432,53.63571,148
721,prescribed,321-74,-165.9426,54.2428,148
721,prescribed,312-70,-166.6166,54.04728,148
721,prescribed,305-65,-167.1436,53.81735,148
721,prescribed,304-62,-167.2197,53.68722,148
721,prescribed,322-74,-165.8667,54.23692,148
721,prescribed,326-78,-165.5648,54.41769,176
721,prescribed,304-63,-167.2467,53.72056,176
721,prescribed,299-59,-167.5893,53.54517,176
721,prescribed,300-58,-167.5207,53.5065,176
721,prescribed,303-62,-167.298,53.67418,176
721,prescribed,303-61,-167.2952,53.64249,176
721,prescribed,313-68,-166.53,53.94441,176
721,new_stn,NA,,,148
721,bonus_stn,NA,,,
722,prescribed,317-73,-166.2422,54.18149,148
722,prescribed,301-61,-167.4588,53.6522,148
722,prescribed,326-76,-165.5474,54.34191,148
722,prescribed,318-74,-166.1554,54.22131,148
722,prescribed,313-68,-166.5437,53.96266,176
722,prescribed,302-60,-167.357,53.58256,176
722,prescribed,326-79,-165.5675,54.46808,176
722,prescribed,322-76,-165.8657,54.32579,176
722,bonus_stn,NA,,,
793,prescribed,284-55,-168.7116,53.38145,148
793,prescribed,281-49,-168.9664,53.11777,148
793,prescribed,269-49,-169.8543,53.10209,176
793,new_stn,NA,,,176
794,prescribed,275-45,-169.4003,52.91734,148
794,prescribed,271-52,-169.7165,53.21922,148
794,prescribed,268-50,-169.9244,53.1395,176
794,prescribed,269-49,-169.8328,53.10511,176
211,prescribed,51-35,173.7612,52.47554,176
212,prescribed,47-38,173.4583,52.61076,176
212,prescribed,48-37,173.5335,52.56646,176
212,prescribed,32-47,172.3367,52.99341,176
212,prescribed,44-47,173.2331,53.01583,176
213,prescribed,31-45,172.2436,52.93243,176
214,prescribed,11-54,170.7347,53.3366,176
221,prescribed,79-20,175.8642,51.81997,176
222,prescribed,84-27,176.2505,52.13345,176
223,prescribed,75-16,175.5718,51.64612,176
